,Unnamed: 0,Title,Rating,Author,Total profile reviews,Review text,Date of visit,Date of review,Response 1,Source Zip,Source File,YearMonth,Extracted Names,Sentiment,Tour Package,Mentions Employee,Review Length,Sentiment Category,Flag for Response
10,271,Might be a scam,1,Gable G,2.0,"The central plaza was under construction. The location of the boat changed. The messages we got about the trip did not contain any information other than an address. When we went to that address, we found a construction fence and an empty dock. When we called the vendor the address they gave us was different from the one we had. It was too late and the vendor didn’t have any openings during our remaining time in Amsterdam. When we contacted trip advisor, they refused to refund our money. So if you do something like this,don’t do it through Trip Advisor.",,2023-11-17 00:00:00+00:00,"Customer s: Dear Customer,

I hope this message finds you well. I'm truly sorry to hear about the challenges you faced during your recent attempt to join our Amsterdam Classic Boat Cruise.

The unexpected changes in location and communication lapses are not the experience we aim to provide, and I sincerely apologize for the frustration caused.

We're working on improving our communication processes and addressing the discrepancy in the provided address. Regarding your experience with TripAdvisor, we'll be investigating and collaborating to prevent such issues in the future.

To make amends, I'd like to extend a heartfelt invitation for you to join us on another Amsterdam Classic Boat Cruise at your convenience. Your satisfaction is our priority, and we're committed to ensuring you have the exceptional experience you deserve.

Feel free to reach out to customersupport@flagshipamsterdam.com, your feedback is invaluable, and we appreciate your understanding.

Looking forward to the opportunity to welcome you back aboard for a more enjoyable experience.

Warm regards,
Jessie - Front Office Management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Evening Cruise - Central Station,False,559,Negative,Response Provided
11,487,Don’t waste your money,1,Scorpio80WestLondon,1.0,"The trip was not cheap and I was disappointed at what the trip entailed:
  
we were advised that the boat was leaving outside the Anne Frank Museum however this was incorrect as we stood outside and then were told that we needed to be at the next canal. I only found this out as I asked the assistant that was there a few mins before the trip as the boat had not arrived.
 
As we had to run over to the other side, we ended up being at the end of the queue and when we went onto the boat, we were not even sitting at the table, therefore we could not reach the cheese and wine on the table

The boat  was over overcrowded and the workers on the boat also stated that the boat was overcrowded and there was no organisation as those who had not opted for the cheese and wine were sitting at the table. We asked if we could swap but this was turned down.

The photos on the advert show that you would have a table for your party and include crackers with the cheese and that it was unlimited. That was not the case as there were no crackers and we could not get to the cheeseboards as the boat was so crowded, so we did not have much at all. ",2023-11-30 00:00:00+00:00,2023-11-09 00:00:00+00:00,"Customer s: Dear Customer 

I hope this message finds you well. Firstly, let me express our sincere apologies for the disappointment you experienced during your recent trip with us. We genuinely value your feedback and take your concerns seriously.

I want to acknowledge the misinformation regarding the departure point, which caused confusion and inconvenience for you. I understand that the unexpected change in location resulted in a less-than-ideal start to your experience.

Furthermore, I regret to hear about the overcrowding on the boat and the challenges you faced in accessing the amenities promised in our advertisement. This falls short of the standards we strive to maintain, and I sincerely apologize for any frustration it caused.

To address your specific concerns, we are reviewing our communication procedures to ensure accurate and timely information is provided to our customers. Additionally, we are revisiting our onboard arrangements to prevent overcrowding and improve the overall experience for our guests.

To better understand your experience and find the most suitable remedy, we kindly request that you reach out to us directly at customersupport@flagshipamsterdam.com. Our dedicated team is committed to addressing your concerns promptly and ensuring that we make amends for any lapses in our service.

Your satisfaction is our top priority, and we appreciate your understanding as we work to resolve this matter to your satisfaction.

Thank you for bringing this to our attention, and we look forward to the opportunity to make things right.

Warm regards,
Jessie - Front Office Management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Amsterdam Luxury Boat Canal Cruise - Anne Frank House,False,1139,Negative,Response Provided
12,527,Left without us.,1,SarahJane0202,1.0,Had a reservation. Left without us. We were there in time and we saw him pull away. Asking for reimbursement………………………….. ,2023-11-30 00:00:00+00:00,2023-11-08 00:00:00+00:00,"Customer s: Dear Customer, 

I'm sorry to hear about your experience. ​Our fleet operates on a strict schedule, and we always advise our guests to arrive 10-15 minutes before departure to ensure a smooth boarding process and avoid disappointment.  We take punctuality seriously, and it is genuinely disappointing when things don't go as planned.

As a follow-up to this matter, we kindly request that you contact us so we can discuss potential solutions. Reach out to us at customersupport@flagshipamsterdam.com and we'll investigate what happened. I look forward to the opportunity to assist you further.

Sincerely,
Jessie - Front Office Management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Evening Cruise - Central Station,False,121,Negative,Response Provided
13,570,"Bait and Switch - You Likely Will Not Get the ""Nice"" Boat",2,Joe F,1.0,"The luxurious boat in the pictures is most likely not the boat you will be riding in. Our boat looked like a floating dungeon - poorly lit, very cramped, bad wine, no decorations, and no pillows. When I complained to the company they said they have 30 boats and use this boat to have people get a feel of what the boat looks like. Our boat as I said, looked nothing like the picture. The only reason this rating is not a one is because the hosts worked very hard to make the boat as fun as possible. Recommend trying another boat company!",2023-11-30 00:00:00+00:00,2023-11-06 00:00:00+00:00,"Customer s: Dear Customer

Thank you for sharing your experience with us, and I want to extend my sincerest apologies for any disappointment you encountered during your boat ride. We value your feedback and take your comments seriously.

I'm truly sorry to hear that the boat you were on did not meet your expectations, and it fell short of the luxurious experience we aim to provide. We understand the importance of accurate representation and have taken your feedback to heart to ensure our promotional materials align more closely with the experience.

Your concerns about the lighting, space, beverage quality, and the lack of decorative elements are noted. We will use this valuable feedback to make necessary improvements to enhance our guests' comfort and overall experience.

I appreciate your positive comments about our hardworking hosts who tried to make the best of the situation. We are proud of our team's dedication to ensuring our guests have a memorable time, despite any unexpected challenges.

Please understand that the boat you were on is indeed part of our fleet, but we understand your dissatisfaction. We are committed to enhancing the experience for all our guests and will take steps to ensure a more accurate representation of our boats in the future.

Your feedback is invaluable to us, and I apologize for any inconvenience you experienced during your visit. We hope that you might consider giving us another opportunity in the future to demonstrate the improvements we are making.

If you have any further comments or concerns, please don't hesitate to contact us directly at customersupport@flagshipamsterdam.com. We appreciate your business and the opportunity to serve you better.

Sincerely,
Jessie - Front Office Management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Luxury Canal Cruise Boat with Drinks and Cheese - Central Station,False,538,Negative,Response Provided
14,579,Not great,2,Emma G,1.0,"The staff was unenthusiastic and not very friendly. The photos are not at all what it was like, way more people and just a bench to sit on. They didn't have a lot to talk about and were taking questions which made it feel unauthentic. There was cheese and wine but not enough staff to have everything you wanted. Would not recommend. ",2023-11-30 00:00:00+00:00,2023-11-05 00:00:00+00:00,"Customer s: Dear Customer

Thank you for taking the time to share your feedback about your recent experience with us. We genuinely value your input as it helps us improve our services and provide a better experience for our customers.

I'm truly sorry to hear that you found our staff unenthusiastic and not very friendly. We hold ourselves to a high standard of customer service, and it's disappointing to hear that we fell short of your expectations in this regard.

Regarding the photos not accurately representing your experience, we understand your concern. We strive to provide an authentic and enjoyable experience for all our guests, and we'll take your feedback into account to ensure our marketing materials better reflect the actual experience.

Your comments about the availability of cheese and wine and staff responsiveness are also duly noted. We are committed to enhancing the overall experience and will work on addressing these issues to better accommodate our guests' needs.

We appreciate your honesty in sharing your experience, and we will use your feedback as an opportunity to improve. Please accept our apologies for any inconvenience you encountered during your visit.

If you decide to give us another chance in the future, we are dedicated to making sure your experience is more enjoyable. Please don't hesitate to contact us directly at customersupport@flagshipamsterdam.com if you have any further comments or concerns.

Thank you for your valuable feedback.

Sincerely,
Jessie - Front Office Management, Flagship Amsterdam
",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Luxury Canal Cruise Boat with Drinks and Cheese - Anne Frank,False,334,Negative,Response Provided
15,708,"All about sale of food and drinks, lacking advertised live commentary, no enthusiasm to deliver as advertised",2,turbocharge,14.0,"I left the tour feeling extremely disappointed because the live commentary was either nonexistent or of very poor quality when given. The organisers seemed primarily focused on and fully attentive to those who had paid for cheese and drinks, with the goal of maximising liquor sales. To add to the frustration, we were seated on a crowded boat next to a family with two teenagers who were constantly talking, making it nearly impossible to hear the occasional bits of ""interactive"" commentary from the organisers. Moreover, our seating area had plastic sheets instead of clear glass, which made it difficult to enjoy clear views.

According to the Tripadvisor itinerary, a wide range of notable sights were listed, including The Jordaan, Amsterdam Cheese Museum, Amsterdam Tulip Museum, Anne Frank House, Statue of Anne Frank, Westerkerk, Houseboat Museum, Andaz Amsterdam Prinsengracht - a Concept by Hyatt, Leiden Square (Leidseplein), Bourbon Street Music Club Amsterdam, Spiegelkwartier, Rijksmuseum, Amstelveld, De Duif, The Amstel’ Koninklijk Theater Carre, H'ART Museum, Amsterdam Museum, Herengracht, Magere Brug, Singel, Dutch National Opera & Ballet, Blauwbrug, Amsterdam Icebar, Joods Historisch Museum, De Kleine Komedie, Munt Tower (Munttoren), Bloemenmarkt, Rembrandtplein, Emperor's Canal (Keizersgracht), Museum Van Loon, Foam - Photography Museum Amsterdam, Huis Marseille, Museum of the Canals, The Dylan, Cromhout House, Huis Bartolotti, Noordermarkt, Museum of Bags and Purses, Willet-Holthuysen Museum, The Cat Cabinet, Museum of the Canals, Basilica of Saint Nicholas, and Homomonument.

However, none of these sights were mentioned or pointed out during the tour by our guide, apart from one location where you were supposed to be able to see seven bridges.",2023-10-31 00:00:00+00:00,2023-11-01 00:00:00+00:00,"Customer s: Dear customer,

Our deepest apologies for the disappointing experience you had during your recent cruise with us. Your feedback is valuable to us, and we deeply regret that we fell short of meeting your expectations.

First and foremost, I want to apologize for the behavior of our crew members and the lack of information provided during the cruise. We are genuinely sorry for the impression you received, as it was never our intention to prioritize humor and personal interactions over delivering a rich and informative experience to our passengers.

We will make sure to address this with our team to ensure that future tours are filled with fascinating facts and interesting details. We want every guest to leave our boat tour feeling enlightened and engaged.

As a gesture of our commitment to your satisfaction, I'd like to offer you a full refund for your tickets. We want to make things right and provide the experience we promised. If you are interested please send an email to customersupport@flagshipamsterdam.com!

Once again, I apologize for the inconveniences you've faced, and I thank you for taking the time to share your thoughts with us. We hope to have the opportunity to rectify this situation.

Warm regards,
Jessie - Front Office Management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Luxury Canal Cruise Boat with Drinks and Cheese - Anne Frank,False,1780,Negative,Response Provided
16,0,To many people over crowded.,3,Kerrie G,2.0,It was over crowded. People had no place to set their cheese boards and drinks down. The guide basically had to walk over us to get to the other guests. The boat didn’t look anything like the picture. There was only one table on the boat.,2023-12-31 00:00:00+00:00,2023-12-03 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-12,[],1.5,Amsterdam Luxury Boat Canal Cruise - Central Station,False,238,Negative,Need to Respond
17,2,viking venus athen rome,3,asyerddamm,3.0,"just return viking venus cruise have to best experience had very good time as a solo traveler believe have misread ad wrong.trip started at price triple when  found out I was solo purchase air trip myself, very high end people very snobs two field trips were 8 hrs wasn't worth it maybe about 2 hrs worth it all morn rush to go have lunch had high end people enjoying free wine. long day I  was youngest group I'm 62 Pompeii my goal to see 2 hr tour we went huge circle saw nothing few things could still see parking lot Rome I got myself turn round  Sistine chapel lost group call cruise for help never never  came  help spend two hundred cab et back to boat..maybe me but it was trail it self maybe better solo...

",2023-11-30 00:00:00+00:00,2023-12-03 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-12,[],1.5,Evening Cruise - Central Station,False,717,Negative,Need to Respond
18,315,"Avoid, over bookings, no customer service",1,Explore68115657278,1.0,"Google maps directions are wrong, was over booked so a group was told to wait for the next slot (in 2 hours) They waited only to find another over booked boat, this delayed our trip because the skipper and the disgruntled group argued to find a solution. No ticket scanning was done, wine and cheese were offered at 10 euro extra per person however nobody was ever charged. The guide was great but the company is run like a circus. We booked with flagship expecting to avoid crowded boats such as 'lovers', my biggest regret of my trip to Amsterdam. This is the only review i have ever written, congrats Flagship",2023-11-30 00:00:00+00:00,2023-11-15 00:00:00+00:00,"Customer s: Dear Customer Support,

I hope this message finds you well. I felt compelled to share my recent experience with Flagship Amsterdam, as it regrettably fell short of expectations.

The Google Maps directions provided proved inaccurate, causing initial confusion. Upon arrival, we discovered our booked slot was overbooked, resulting in a two-hour delay. Unfortunately, a similar situation unfolded with the subsequent boat, leading to further delays as the skipper and frustrated passengers sought a resolution.

Given the circumstances, we would like to offer you a solution that we hope will relieve some of the frustration you've experienced. Your satisfaction is our priority, and we are committed to finding a way to make this experience right for you. Please reach out to us at customersupport@flagshipamsterdam.com to discuss the best way forward for you. We genuinely appreciate your understanding. 

Warm regards,

Jessie - Front office management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.5,Evening Cruise - Central Station,False,612,Negative,Response Provided
19,443,Find Another Company,2,Alec D,3.0,"Time on tickets and all confirmation emails was incorrect, which meant we arrived 45 minutes early to an empty dock in the pouring rain and had to wait until the previous tour ended to ask what was going on. The crew offered no apologies, just that we were “the second person today to have that issue.” Additionally, it took us 20 minutes and directions from 3 other more clearly advertised boat tour companies to locate the ‘flagship Amsterdam’ dock. Multiple other visitors on our tour also noted the same issue when they got on board. As mentioned earlier, it was raining for the tour and the entire back half of the boat had plastic sheeting windows that fogged up making it impossible to see anything during the tour. The tour guide noted that the ‘normally have a cleaning solution for the fog on these windows but couldn’t find it for this tour.” The tour itself would have been fun and informative if not for all the above. There are multiple other companies running the same ‘cheese and wine’ tour that appear to be far more professional, so just look for another company. ",2023-11-30 00:00:00+00:00,2023-11-11 00:00:00+00:00,"Customer s: Hi there,

I sincerely apologize for the challenges you faced during your recent Flagship Amsterdam experience. Your feedback is invaluable, and I regret any inconvenience caused.

We understand the frustration with the incorrect time on tickets and communication issues. Immediate steps are being taken to improve accuracy and communication protocols. We also acknowledge the concerns about locating our dock and the fogged-up windows during the tour, and we are actively addressing these matters.

Your insights will guide our improvements, and we are committed to ensuring a smoother and more enjoyable experience for our guests. For further assistance or to discuss your concerns, please contact us at customersupport@flagshipamsterdam.com.

Thank you for bringing this to our attention, and we hope for an opportunity to provide you with a better experience in the future.

Sincerely,

Jessie, Front Office Management, Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.5,Evening Cruise - Central Station,False,1082,Negative,Response Provided
20,460,Poor experience ,1,David G,2.0,Very disappointing. The guide and crew consisted of young women who had very little information or knowledge of Amsterdam. We left the cruise with little more knowledge of Amsterdam than when we boarded. The crew seemed more interested in serving the wine and cheese. Also the view from the boat was limited and primarily at ground level. Very poor,2023-11-30 00:00:00+00:00,2023-11-10 00:00:00+00:00,"Customer s: Dear Customer,

I appreciate you taking the time to share your feedback regarding your recent cruise experience, and I apologize for the disappointment you encountered. Your insights are invaluable to us, and we take your concerns seriously.

I want to assure you that our guides are trained professionals with in-depth knowledge of the stories they share. It's truly surprising to learn that you felt this aspect was lacking during your cruise. We understand the importance of the stories as the core of the tour, and we are actively investigating this matter to ensure that our guides consistently deliver engaging and informative narratives.

While we value the significance of the wine and cheese on our cruises, we recognize that the stories are the essence of the tour. Rest assured, we are taking immediate steps to address this lapse and enhance the overall experience for our guests. 

Thank you for bringing this matter to our attention, and we look forward to the opportunity to regain your trust.

Best regards,",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.5,Luxury Canal Cruise Boat with Drinks and Cheese - Anne Frank,False,348,Negative,Response Provided
21,521,Left some to be desired,3,Kyle H,1.0,"I’m not sure why this tour has 5 stars… the service and staff were top notch but the actual tour itself was extremely bland and non-informative. Additionally, on a rainy night, the tour group puts up plastic windows that collect rain water and make it impossible to see out of. All in all, not a great tour. I didn’t walk away with any new information nor could I see for 80% of the trip.",2023-11-30 00:00:00+00:00,2023-11-08 00:00:00+00:00,"Customer s: Dear Customer,

Thanks for sharing your tour experience—it means a lot to us! I'm sorry to hear it didn't quite meet your expectations, but I appreciate your honesty.

We're sorry about the tour content and those rain-soaked windows. We're on it, though, and your feedback is like gold for helping us get better.

If you ever feel like giving us another shot, we'd love to make the next tour one to remember!

Thanks again for sharing, and here's to brighter skies and better tours ahead!

Cheers,",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.5,Amsterdam Luxury Boat Canal Cruise - Central Station,False,388,Negative,Response Provided
22,14,Not as described,2,cheryl e,5.0,The cruise was advertised as a way to see the Christmas lights of the city from the canals.  No lights.  Very disappointing.  But the staff did make up for it a little.,,2023-11-30 00:00:00+00:00,"Gabriela F: Dear Valued Customer,
Your feedback is extremely valuable to us as it helps us identify areas for improvement, and we take your concerns seriously. It is clear that we fell short of meeting your expectations in your experience, and for that, I am truly sorry. 
We apologize for any disappointment caused. As a boat tour company, it's our priority to provide enjoyable and memorable experiences for our customers. It saddens us to learn that we fell short of delivering the lights of our beautiful city.
Your feedback is valuable to us as we continuously work towards improving our services. We would love to have the opportunity to make it right for you. Please feel free to email me directly at customersupport@flagshipamsterdam.com, and I will personally ensure that your concerns are addressed and, if possible, find a suitable resolution.   
Kind regards ",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],2.0,Luxury Canal Cruise Boat with Drinks and Cheese - Anne Frank,False,168,Negative,Response Provided
